alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,ATOM,1,,,,,,,ATOM-USDT,SPOT,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,AUCTION,1,,,,,,,AUCTION-USDT,SPOT,,1617793135000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,AVAX,1,,,,,,,AVAX-USDT,SPOT,5,1600734600000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,AXS,1,,,,,,,AXS-USDT,SPOT,5,1627376400000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,AZY,1,,,,,,,AZY-USDT,SPOT,,1658473539000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,10,,USDT,,live,,0.00001,
,BABYDOGE,1,,,,,,,BABYDOGE-USDT,SPOT,,1628583250000,1,9999999999999999,9999999999999999,2000000000000,2000000000000,9999999999999999,9999999999999999,1000000000,,USDT,,live,,0.000000000001,
,BADGER,1,,,,,,,BADGER-USDT,SPOT,5,1610395200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.001,
,BAL,1,,,,,,,BAL-USDT,SPOT,5,1595786209000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.001,
,BAND,1,,,,,,,BAND-USDT,SPOT,5,1598569200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,BAT,1,,,,,,,BAT-USDT,SPOT,5,1583197200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,BCD,1,,,,,,,BCD-USDT,SPOT,,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,BCH,1,,,,,,,BCH-USDT,SPOT,10,1605477603000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.01,
,BETH,1,,,,,,,BETH-USDT,SPOT,,1608678000000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.01,
,BHP,1,,,,,,,BHP-USDT,SPOT,,1590445881000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,BICO,1,,,,,,,BICO-USDT,SPOT,5,1638350839000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,BLOK,1,,,,,,,BLOK-USDT,SPOT,,1637293123000,0.001,999999999999999,999999999999999,1000000,1000000,999999999999999,999999999999999,10,,USDT,,live,,0.000001,
,BNB,1,,,,,,,BNB-USDT,SPOT,5,1671540758000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
