alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
,CELO,1,,,,,,,CELO-USDT,MARGIN,5,1594939857000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,CEL,1,,,,,,,CEL-USDT,MARGIN,5,1618290083000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.0001,
,CELR,1,,,,,,,CELR-USDT,MARGIN,5,1617008400000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,CFX,1,,,,,,,CFX-USDT,MARGIN,5,1614718800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,CHZ,1,,,,,,,CHZ-USDT,MARGIN,5,1614754800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,CLV,1,,,,,,,CLV-USDT,MARGIN,5,1627534800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,COMP,1,,,,,,,COMP-USDT,MARGIN,5,1593379982000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.001,,USDT,,live,,0.01,
,CONV,1,,,,,,,CONV-USDT,MARGIN,5,1616679900000,0.000001,999999999999,999999999999,999999,999999,999999999999,999999999999,10,,USDT,,live,,0.000001,
,CQT,1,,,,,,,CQT-USDT,MARGIN,5,1624410000000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,CRO,1,,,,,,,CRO-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,CRV,1,,,,,,,CRV-USDT,MARGIN,5,1597346595000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,CSPR,1,,,,,,,CSPR-USDT,MARGIN,5,1620730802000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.00001,
,CVC,1,,,,,,,CVC-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,DASH,1,,,,,,,DASH-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,DOME,1,,,,,,,DOME-USDT,MARGIN,5,1644289751000,0.000001,999999999999,999999999999,999999,999999,999999999999,999999999999,100,,USDT,,live,,0.00001,
,DORA,1,,,,,,,DORA-USDT,MARGIN,5,1616461210000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,EFI,1,,,,,,,EFI-USDT,MARGIN,5,1628067557000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,EGLD,1,,,,,,,EGLD-USDT,MARGIN,5,1601425800000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,ELF,1,,,,,,,ELF-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,ENJ,1,,,,,,,ENJ-USDT,MARGIN,5,1616029200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,ENS,1,,,,,,,ENS-USDT,MARGIN,5,1636418921000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.01,
,EOS,1,,,,,,,EOS-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.0001,
,ETC,1,,,,,,,ETC-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,ETHW,1,,,,,,,ETHW-USDT,MARGIN,5,1663258755000,0.0001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,FITFI,1,,,,,,,FITFI-USDT,MARGIN,5,1650948023000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,FLM,1,,,,,,,FLM-USDT,MARGIN,5,1601247097000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,FLOW,1,,,,,,,FLOW-USDT,MARGIN,5,1614027600000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.1,,USDT,,live,,0.001,
,FTM,1,,,,,,,FTM-USDT,MARGIN,5,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,GALA,1,,,,,,,GALA-USDT,MARGIN,5,1632295327000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,GLMR,1,,,,,,,GLMR-USDT,MARGIN,5,1641883794000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,GMT,1,,,,,,,GMT-USDT,MARGIN,5,1648782263000,0.0001,99999999999999,99999999999999,1000000,1000000,99999999999999,99999999999999,1,,USDT,,live,,0.0001,
,GODS,1,,,,,,,GODS-USDT,MARGIN,5,1635493317000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,GRT,1,,,,,,,GRT-USDT,MARGIN,5,1608242400000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,HBAR,1,,,,,,,HBAR-USDT,MARGIN,5,1568679563000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.0001,
,ICP,1,,,,,,,ICP-USDT,MARGIN,5,1620662449000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,0.01,,USDT,,live,,0.01,
,IMX,1,,,,,,,IMX-USDT,MARGIN,5,1604565813000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.001,
,IOST,1,,,,,,,IOST-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,IOTA,1,,,,,,,IOTA-USDT,MARGIN,10,1548133413000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
,JST,1,,,,,,,JST-USDT,MARGIN,5,1598569232000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,10,,USDT,,live,,0.00001,
,KISHU,1,,,,,,,KISHU-USDT,MARGIN,5,1620979258000,1,9999999999999999,9999999999999999,2000000000000,2000000000000,9999999999999999,9999999999999999,100000000,,USDT,,live,,0.000000000001,
,KLAY,1,,,,,,,KLAY-USDT,MARGIN,5,1599703200000,0.000001,999999999999,999999999999,1000000,1000000,999999999999,999999999999,1,,USDT,,live,,0.0001,
